epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.734,1.63849,3.18779,1.90467,0.39586,0.36508,0.27163,0.17867,1.72561,3.39771,1.94789,0.00044299,0.00044299,0.00044299
2,259.698,1.6554,3.28037,1.92435,0.17954,0.36508,0.25814,0.13647,1.92505,3.66043,2.2042,0.000811143,0.000811143,0.000811143
3,390,1.70441,3.23817,1.90668,0.87334,0.20635,0.27919,0.13641,2.07902,4.61173,2.20457,0.00108876,0.00108876,0.00108876
4,514.724,1.70534,3.19299,1.92804,0.27748,0.33333,0.17473,0.11641,1.98748,3.55532,2.17787,0.00100459,0.00100459,0.00100459
5,639.513,1.66605,3.04082,1.91875,0.61347,0.20635,0.20748,0.14119,1.64091,3.30708,1.87742,0.000863116,0.000863116,0.000863116
6,770.574,1.62258,3.0734,1.83852,0.32135,0.33333,0.25805,0.17559,1.6474,3.28283,1.90213,0.000721645,0.000721645,0.000721645
7,894.557,1.59577,2.90227,1.8555,0.3591,0.34921,0.26782,0.19666,1.52741,3.2233,1.86499,0.000580174,0.000580174,0.000580174
8,1016.15,1.55112,2.90992,1.8281,0.36257,0.38095,0.26647,0.1914,1.58922,3.13767,1.89406,0.000438703,0.000438703,0.000438703
9,1144.1,1.49429,2.83636,1.80914,0.33242,0.38095,0.25077,0.19303,1.5132,3.01893,1.82664,0.000297232,0.000297232,0.000297232
10,1269.12,1.44168,2.69013,1.73659,0.3402,0.39683,0.26397,0.20475,1.54753,2.91813,1.85014,0.000155761,0.000155761,0.000155761
